div,season,date,team_home,team_away,points_home,points_away,goals_home,goals_away
E0,2008,16aug2008,Arsenal,West Brom,3,0,1,0
E0,2008,16aug2008,West Ham,Wigan,3,0,2,1
E0,2008,16aug2008,Middlesbrough,Tottenham,3,0,2,1
E0,2008,16aug2008,Everton,Blackburn,0,3,2,3
E0,2008,16aug2008,Bolton,Stoke,3,0,3,1
E0,2008,16aug2008,Sunderland,Liverpool,0,3,0,1
E0,2008,16aug2008,Hull,Fulham,3,0,2,1
E0,2008,17aug2008,Chelsea,Portsmouth,3,0,4,0
E0,2008,17aug2008,Man United,Newcastle,1,1,1,1
E0,2008,17aug2008,Aston Villa,Man City,3,0,4,2
E0,2008,23aug2008,Liverpool,Middlesbrough,3,0,2,1
E0,2008,23aug2008,Stoke,Aston Villa,3,0,3,2
E0,2008,23aug2008,Blackburn,Hull,1,1,1,1
E0,2008,23aug2008,West Brom,Everton,0,3,1,2
E0,2008,23aug2008,Fulham,Arsenal,3,0,1,0
E0,2008,23aug2008,Tottenham,Sunderland,0,3,1,2
E0,2008,23aug2008,Newcastle,Bolton,3,0,1,0
E0,2008,24aug2008,Wigan,Chelsea,0,3,0,1
E0,2008,24aug2008,Man City,West Ham,3,0,3,0
E0,2008,25aug2008,Portsmouth,Man United,0,3,0,1
E0,2008,30aug2008,Middlesbrough,Stoke,3,0,2,1
E0,2008,30aug2008,Arsenal,Newcastle,3,0,3,0
E0,2008,30aug2008,Everton,Portsmouth,0,3,0,3
E0,2008,30aug2008,West Ham,Blackburn,3,0,4,1
E0,2008,30aug2008,Hull,Wigan,0,3,0,5
E0,2008,30aug2008,Bolton,West Brom,1,1,0,0
E0,2008,31aug2008,Chelsea,Tottenham,1,1,1,1
E0,2008,31aug2008,Aston Villa,Liverpool,1,1,0,0
E0,2008,31aug2008,Sunderland,Man City,0,3,0,3
E0,2008,13sep2008,Liverpool,Man United,3,0,2,1
E0,2008,13sep2008,Man City,Chelsea,0,3,1,3
E0,2008,13sep2008,Wigan,Sunderland,1,1,1,1
E0,2008,13sep2008,Fulham,Bolton,3,0,2,1
E0,2008,13sep2008,West Brom,West Ham,3,0,3,2
E0,2008,13sep2008,Blackburn,Arsenal,0,3,0,4
E0,2008,13sep2008,Newcastle,Hull,0,3,1,2
E0,2008,13sep2008,Portsmouth,Middlesbrough,3,0,2,1
E0,2008,14sep2008,Stoke,Everton,0,3,2,3
E0,2008,15sep2008,Tottenham,Aston Villa,0,3,1,2
E0,2008,20sep2008,Liverpool,Stoke,1,1,0,0
E0,2008,20sep2008,Blackburn,Fulham,3,0,1,0
E0,2008,20sep2008,Sunderland,Middlesbrough,3,0,2,0
E0,2008,20sep2008,West Ham,Newcastle,3,0,3,1
E0,2008,20sep2008,Bolton,Arsenal,0,3,1,3
E0,2008,21sep2008,Tottenham,Wigan,1,1,0,0
E0,2008,21sep2008,West Brom,Aston Villa,0,3,1,2
E0,2008,21sep2008,Hull,Everton,1,1,2,2
E0,2008,21sep2008,Chelsea,Man United,1,1,1,1
E0,2008,21sep2008,Man City,Portsmouth,3,0,6,0
E0,2008,27sep2008,Middlesbrough,West Brom,0,3,0,1
E0,2008,27sep2008,Everton,Liverpool,0,3,0,2
E0,2008,27sep2008,Aston Villa,Sunderland,3,0,2,1
E0,2008,27sep2008,Man United,Bolton,3,0,2,0
E0,2008,27sep2008,Arsenal,Hull,0,3,1,2
E0,2008,27sep2008,Stoke,Chelsea,0,3,0,2
E0,2008,27sep2008,Newcastle,Blackburn,0,3,1,2
E0,2008,27sep2008,Fulham,West Ham,0,3,1,2
E0,2008,28sep2008,Wigan,Man City,3,0,2,1
