hhidpn,wavenum,hitot,rheight,age,female
3020,12,753500,1.6256,75,1
10001010,12,12000,1.8034,74,0
10003030,12,11900,1.5494,58,1
10004040,12,19200,1.651,68,1
10013010,12,15276,1.7272,76,0
10013040,12,15040,1.5748,66,1
10038010,12,129780,1.7526,77,0
10038040,12,129780,1.6764,71,1
10050010,12,115328,1.6002,72,1
10059020,12,819700,1.6764,78,1
10063010,12,9056,1.6002,76,1
10075020,12,16080,1.5748,77,1
10097040,12,18000,1.524,67,1
10099010,12,51680,1.6764,82,1
10106010,12,58240,1.7272,83,0
10106020,12,58240,1.5494,81,1
10147010,12,9660,1.6256,81,1
10210020,12,24097.27437,1.6256,75,0
10225010,12,7596,1.6002,79,1
10281010,12,16400,1.6764,76,1
10281020,12,16400,1.7018,79,0
10299010,12,20800,1.778,73,0
10299011,12,0,1.524,62,1
10325020,12,44419,1.6256,74,1
10372010,12,30926.88483,1.4986,78,1
10395020,12,11400,1.7272,76,1
10397010,12,209200,1.8288,73,0
10404010,12,21468,1.6002,74,1
10433010,12,8760,1.6764,80,1
10451010,12,72024,1.524,76,1
10451020,12,72024,1.651,74,0
10453010,12,48436.84824,1.6256,80,1
10453020,12,48436.84824,1.8288,82,0
10458020,12,79300,1.778,75,0
10458030,12,79300,1.5875,70,1
10475010,12,25781.82511,1.524,82,1
10477010,12,40279.82125,1.6256,76,0
10477020,12,40279.82125,1.4986,76,1
10481010,12,104204,1.7272,73,0
10481020,12,104204,1.5748,73,1
10482010,12,10800,1.4478,72,1
10533011,12,55331.80115,1.6891,82,0
10537010,12,18360,1.5748,76,1
10537011,12,18360,1.6764,82,0
10565020,12,14758,1.7653,81,0
10571010,12,24096,1.5748,73,1
10577010,12,35340,1.5748,74,1
10592010,12,12600,1.6764,77,1
10611010,12,32640,1.651,72,1
10645031,12,57264.36,1.72085,67,1
10648010,12,16800,1.778,73,0
10648020,12,16800,1.6002,73,1
10672031,12,34734.52983,1.5748,69,1
10696010,12,0,1.5875,73,1
10708030,12,26898.44066,1.778,67,1
10740010,12,13572,1.6764,77,1
10756011,12,7716,1.651,82,0
10769040,12,90120,1.6256,58,1
10773020,12,73560,1.6002,76,1
10818010,12,17784,1.7272,76,0
10818040,12,17784,1.6256,65,1
10822010,12,124036,1.7018,73,0
10822040,12,124036,1.651,67,1
10893010,12,119820,1.7018,74,1
10896010,12,10746,1.6764,75,1
10917010,12,8900,1.6002,76,1
10929040,12,413204,1.6002,72,1
10962010,12,54344,1.5494,74,1
10989010,12,43548,1.778,78,0
10989020,12,43548,1.5748,73,1
11067020,12,42676,1.6256,75,1
11067030,12,42676,1.7653,72,0
11071010,12,23977.80202,1.5748,81,1
11071020,12,23977.80202,1.7526,78,0
11141010,12,185166.0052,1.7526,80,1
11141020,12,185166.0052,1.8542,81,0
11179010,12,34512,1.5748,77,1
11179020,12,34512,1.6764,78,0
11212010,12,12,1.6764,83,0
11212011,12,12,1.524,76,1
11230010,12,11736,1.6256,79,1
11248010,12,14192,1.651,75,1
11253010,12,10608,1.651,75,1
11256010,12,50236,1.8288,72,0
11256040,12,50236,1.5748,67,1
11323010,12,4356,1.6764,77,1
11332010,12,73708,1.778,82,0
11332020,12,73708,1.6256,73,1
11333020,12,19200,1.6002,80,1
11341010,12,39260,1.5113,75,1
11345010,12,90875.84961,1.6256,74,0
11345020,12,90875.84961,1.5494,74,1
11347020,12,64044,1.7018,83,1
11368010,12,58771,1.7907,81,0
11368020,12,58771,1.6764,79,1
11377010,12,29352,1.6637,74,0
11377040,12,29352,1.524,68,1
11378010,12,33180,1.7018,77,0
11378020,12,14508,1.5748,73,1
11387020,12,12360,1.5748,83,1
11423010,12,8568,1.6256,81,1
11466040,12,6480,1.5748,61,1
11467010,12,7200,1.8542,82,1
11506010,12,41325,1.651,73,1
11563010,12,17928,1.5494,81,1
11575020,12,42040,1.8034,81,0
11582020,12,26406,1.8542,81,0
11590020,12,15732,1.524,79,1
11611010,12,85050.96,1.8034,73,0
11612010,12,57584,1.8288,74,0
11620010,12,102380,1.7018,73,0
11620040,12,102380,1.7018,55,1
11626010,12,15360,1.7272,75,0
11626011,12,15360,1.7018,65,1
11671040,12,42022.8,1.4732,84,1
11678010,12,19794,1.524,82,1
11690010,12,19668,1.6129,81,1
11694010,12,33189.61907,1.524,76,1
11694020,12,33189.61907,1.778,78,0
