"hotel_id","price","offer","offer_cat","year","month","weekend","holiday","nnights","scarce_room"
1,172,0,"0% no offer",2017,11,1,0,1,0
1,122,1,"15-50% offer",2018,1,1,0,1,0
1,122,1,"15-50% offer",2017,12,0,1,1,0
1,552,1,"1-15% offer",2017,12,0,1,4,0
1,122,1,"15-50% offer",2018,2,1,0,1,0
1,114,1,"15-50% offer",2017,11,0,0,1,0
2,119,0,"0% no offer",2017,11,0,0,1,0
2,119,0,"0% no offer",2017,12,0,1,1,0
2,547,0,"0% no offer",2017,12,0,1,4,0
3,118,1,"15-50% offer",2017,12,0,1,1,0
3,217,0,"0% no offer",2017,11,1,0,1,1
3,114,1,"15-50% offer",2018,1,1,0,1,0
3,737,1,"1-15% offer",2017,12,0,1,4,0
3,117,1,"15-50% offer",2017,11,0,0,1,0
4,115,1,"15-50% offer",2017,12,0,1,1,0
4,71,1,"50%-75% offer",2017,11,0,0,1,0
5,696,1,"15-50% offer",2018,4,1,0,1,1
5,922,0,"0% no offer",2018,1,1,0,1,1
5,922,0,"0% no offer",2017,11,1,0,1,1
5,922,0,"0% no offer",2018,3,1,0,1,1
5,922,0,"0% no offer",2018,2,1,0,1,1
5,690,1,"15-50% offer",2017,11,0,0,1,1
5,696,1,"15-50% offer",2018,5,1,0,1,1
5,3087,1,"15-50% offer",2017,12,0,1,4,1
5,696,1,"15-50% offer",2018,6,1,0,1,1
5,690,1,"15-50% offer",2017,12,0,1,1,1
6,216,1,"50%-75% offer",2018,2,1,0,1,0
6,127,1,"50%-75% offer",2017,11,0,0,1,0
6,127,1,"50%-75% offer",2017,12,0,1,1,0
6,216,1,"50%-75% offer",2018,1,1,0,1,0
6,324,1,"15-50% offer",2018,3,1,0,1,0
6,186,1,"50%-75% offer",2017,11,1,0,1,0
6,745,1,"50%-75% offer",2017,12,0,1,4,0
7,228,1,"1-15% offer",2018,2,1,0,1,1
7,167,1,"15-50% offer",2017,11,0,0,1,1
7,177,1,"15-50% offer",2017,12,0,1,1,1
7,187,1,"15-50% offer",2018,1,1,0,1,1
8,987,0,"0% no offer",2017,12,0,1,4,0
